
name: aria, total assets: 406000000, total liabilities: 152000000, market cap: 1232757387, undervalued: False, difference: -978757387
name: arkr, total assets: 53000000, total liabilities: 22000000, market cap: 73171196, undervalued: False, difference: -42171196
name: abfs, total assets: 1024000000, total liabilities: 543000000, market cap: 892320354, undervalued: False, difference: -411320354
name: armh, total assets: 2384000000, total liabilities: 423000000, market cap: 25566380985, undervalued: False, difference: -23605380985
name: artx, total assets: 80000000, total liabilities: 33000000, market cap: 69512459, undervalued: False, difference: -22512459
name: arql, total assets: 105000000, total liabilities: 40000000, market cap: 131766323, undervalued: False, difference: -66766323
name: arry, total assets: 152000000, total liabilities: 165000000, market cap: 577620690, undervalued: False, difference: -590620690
name: arrs, total assets: 4585000000, total liabilities: 3289000000, market cap: 3316572724, undervalued: False, difference: -2020572724
name: arow, total assets: 2156000000, total liabilities: 1974000000, market cap: 329100138, undervalued: False, difference: -147100138
name: arwr, total assets: 41000000, total liabilities: 8000000, market cap: 422699648, undervalued: False, difference: -389699648
name: artna, total assets: 400000000, total liabilities: 280000000, market cap: 204543503, undervalued: False, difference: -84543503
name: artc, total assets: 574000000, total liabilities: 102000000, market cap: 1135113880, undervalued: False, difference: -663113880
name: artw, total assets: 30000000, total liabilities: 11000000, market cap: 24053184, undervalued: False, difference: -5053184
name: arun, total assets: 746000000, total liabilities: 270000000, market cap: 1911010968, undervalued: False, difference: -1435010968
name: asbb, total assets: 751000000, total liabilities: 648000000, market cap: 90716903, undervalued: True, difference: 12283097
name: asna, total assets: 3018000000, total liabilities: 1390000000, market cap: 3389331430, undervalued: False, difference: -1761331430
name: ascma, total assets: 2280000000, total liabilities: 1728000000, market cap: 1241721375, undervalued: False, difference: -689721375
name: asti, total assets: 30000000, total liabilities: 10000000, market cap: 42987865, undervalued: False, difference: -22987865
name: apwc, total assets: 389000000, total liabilities: 227000000, market cap: 43131187, undervalued: True, difference: 118868813
name: asia, total assets: 1032000000, total liabilities: 261000000, market cap: 871218218, undervalued: False, difference: -100218218
name: asmi, total assets: 1976000000, total liabilities: 998000000, market cap: 2070268200, undervalued: False, difference: -1092268200
name: asml, total assets: 9770000000, total liabilities: 4408000000, market cap: 41697785498, undervalued: False, difference: -36335785498
name: azpn, total assets: 367000000, total liabilities: 272000000, market cap: 3894940805, undervalued: False, difference: -3799940805
name: asbc, total assets: 23688000000, total liabilities: 20816000000, market cap: 2842633329, undervalued: True, difference: 29366671
name: asbcw, total assets: 23688000000, total liabilities: 20816000000, market cap: 0, undervalued: True, difference: 2872000000
name: asfi, total assets: 223000000, total liabilities: 56000000, market cap: 106907729, undervalued: True, difference: 60092271
name: atea, total assets: 14000000, total liabilities: 11000000, market cap: 9506342, undervalued: False, difference: -6506342
name: aste, total assets: 750000000, total liabilities: 179000000, market cap: 859979388, undervalued: False, difference: -288979388
name: alot, total assets: 75000000, total liabilities: 11000000, market cap: 102399505, undervalued: False, difference: -38399505
name: atro, total assets: 432000000, total liabilities: 284000000, market cap: 910188012, undervalued: False, difference: -762188012
name: astc, total assets: 47000000, total liabilities: 14000000, market cap: 56901243, undervalued: False, difference: -23901243
name: asur, total assets: 35000000, total liabilities: 31000000, market cap: 33400786, undervalued: False, difference: -29400786
name: atai, total assets: 73000000, total liabilities: 13000000, market cap: 91506000, undervalued: False, difference: -31506000
name: athn, total assets: 788000000, total liabilities: 429000000, market cap: 4943851553, undervalued: False, difference: -4584851553
name: afcb, total assets: 295000000, total liabilities: 251000000, market cap: 41050683, undervalued: True, difference: 2949317
name: athx, total assets: 19000000, total liabilities: 8000000, market cap: 146344830, undervalued: False, difference: -135344830
name: aame, total assets: 317000000, total liabilities: 220000000, market cap: 85864625, undervalued: True, difference: 11135375
name: acfc, total assets: 714000000, total liabilities: 684000000, market cap: 64207513, undervalued: False, difference: -34207513
